hero,kills,deaths,role
Juggernaut,16,0,FullSupport
Juggernaut,14,2,Midlane
Pudge,25,13,Carry
Juggernaut,17,9,Carry
Pudge,29,3,Midlane
Juggernaut,8,0,Midlane
Juggernaut,20,14,Carry
Invoker,6,6,Carry
Earthshaker,17,0,FullSupport
Lina,9,9,FullSupport
Pudge,26,6,FullSupport
Invoker,27,11,Carry
Pudge,15,0,Offlane
Juggernaut,4,3,Carry
Invoker,15,11,Carry
Juggernaut,16,4,Support
Juggernaut,14,9,FullSupport
Invoker,16,10,Offlane
Juggernaut,5,14,Support
Earthshaker,24,14,Support
Juggernaut,3,1,Midlane
Invoker,25,4,FullSupport
Pudge,20,13,Support
Invoker,7,14,Support
Earthshaker,1,3,Offlane
Juggernaut,10,7,FullSupport
Lina,10,0,Carry
Lina,17,14,Support
Lina,17,10,Offlane
Earthshaker,7,5,Support
Invoker,17,1,FullSupport
Pudge,22,12,Midlane
Pudge,17,14,Support
Lina,15,15,Support
Juggernaut,20,6,Midlane
Lina,4,1,Support
Juggernaut,24,1,Offlane
Juggernaut,25,3,Offlane
Lina,23,8,Offlane
Earthshaker,4,13,Offlane
Pudge,21,10,FullSupport
Pudge,16,2,Midlane
Pudge,4,15,Carry
Juggernaut,6,11,Midlane
Juggernaut,24,12,Midlane
Lina,30,1,FullSupport
Lina,7,3,Support
Invoker,6,5,Carry
Juggernaut,1,14,Offlane
Pudge,8,1,Carry
